개체번호,개체명,소유주,디자이너,분류,개체분류,개체설명,"비고(원본 특이사항, 검수참고용)"
113,마녀의 물약 워터파컷,한용 님 @HanYong_56,,cold,,마녀의 물약을 맛 보여 주기 위해 탄생한 워터파컷입니다. 조용하고 음침한 성격을 가졌습니다. 다른'종족'과 함께 태어난 워터파컷 입니다. 그 '종족'과 친하게 지내는 모습을 보입니다.,
114,고양이만을 위한 물 워터파컷,마로 님 @Marorong_,,hot,,고양이만을 위한 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 나른하고 포근한 성격을 가졌습니다.,
115,별사탕을 담은 우유 워터파컷,cherry 님 @cherry10g,,hot,,별사탕을 담은 우유를 맛 보여 주기 위해 탄생한 워터파컷입니다. 무뚝뚝한 성격을 가졌습니다.,
116,미래에서 온 에너지드링크 워터파컷,티스 님 @xltm345,,cold,,미래에서 온 에너지드링크를 맛 보여 주기 위해 탄생한 워터파컷입니다. 침착하고 고요한 성격을 가졌습니다.,
117,용이 달여준 말차 워터파컷,피안 님 @1309_higanbana,,hot,,<용의 손을 가진 특수 개체> 용이 달여준 말차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 너그럽고 자비로운 성격을 가졌습니다.,
118,사랑에 빠진 큐피트의 피 워터파컷,안초 님 @kimancho930,,hot,,<날개가 달린 특수 개체> 사랑에 빠진 큐피트의 피를 맛 보여 주기 위해 탄생한 워터파컷입니다. 사랑에 열정적인 성격을 가졌습니다.,
119,설표가 숨은 안개 워터파컷,뇨 님 @nyo0822_,,hot & cold,,"<액체로 된 '물'이 아닌 수증기로 된 '물'을 가진 ??? 개체> 설표가 숨은 안개를 맛 보여 주기 위해 탄생한 워터파컷입니다. 성격 또한 hot과 cold가 공존하는 듯 합니다. 약간 응결된 수증기인 안개로, 설표가 숨을수 있게 도와주는 워터파컷 입니다.",
120,어느 귀한집 시바 이누가 마신 민트차 워터파컷,! 님 @susanghao,,cold,,어느 귀한집 시바 이누가 마신 민트차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 차분하고 신중한 성격을 가졌습니다.,
121,가오리가 맛본 달콤한 과일주스 워터파컷,이바다 님 @emerald_BADA,,cold,,가오리가 맛본 달콤한 과일주스를 맛 보여 주기 위해 탄생한 워터파컷입니다. 차분하고 쉬원쉬원 한 성격을 가졌습니다.,
122,큐피트의 사랑을 위한 차 워터파컷,25 님 @jinzumong,,hot,,큐피트의 사랑을 위한 차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 다정하고 적극적인 성격을 가졌습니다.,
123,여우와 나비가 함께 마신 수정과 워터파컷,슈가 님 @s_uga_0503,,cold,,여우와 나비가 함께 마신 수정과를 맛 보여 주기 위해 탄생한 워터파컷입니다. 차분하고 조용한 성격을 가졌습니다.,
124,마시멜로와 딸기 위 뿌린 캐러멜 시럽 워터파컷,햇쌀밥 님 @hunted_sunrice,,hot,,마시멜로와 딸기 위 뿌린 캐러멜 시럽을 맛 보여 주기 위해 탄생한 워터파컷입니다. 밝고 명랑한 성격을 가졌습니다.,
125,한기가 서린 물 워터파컷,티스 님 @xltm345,,cold,,한기가 서린 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 차가운 성격을 가졌습니다.,<디자인권 사용>
126,신비한 노란 양말 고양이의 특별한 주스 워터파컷,언쿠,,hot & cold,,<'물'에 특별한 마법이 담긴 ??? 개체> 신비한 노란 양말 고양이의 특별한 주스를 맛 보여 주기 위해 탄생한 워터파컷입니다. 성격 또한 hot과 cold가 공존하는 듯 합니다. 따르는 '물'마다 특별한 '효과'를 주는 워터파컷 입니다.,
127,달토끼표 달떡의 꿀소 워터파컷,마로 님 @Marorong_,,hot,,<보통 개체 보다 몸집이 큰 특별 개체> 달토끼표 달떡의 꿀소를 맛 보여 주기 위해 탄생한 워터파컷입니다. 밝고 기운 넘치는 성격을 가졌습니다.,
128,판다가 좋아하는 오렌지 주스 워터파컷,안초 님 @kimancho930,,hot,,판다가 좋아하는 오렌지 주스를 맛 보여 주기 위해 탄생한 워터파컷입니다. 활발하고 상큼한 성격을 가졌습니다.,
129,꿀 딸기라떼 워터파컷,안초 님 @kimancho930,,Cold,,<물 배출 구멍이 꼬리물주머니에 더 있는 특별 개체> 꿀 딸기라떼를 맛 보여 주기 위해 탄생한 워터파컷입니다. 소심하고 어리버리한 성격을 가졌습니다.,<슈가 님 D>
130,블루베리 요거트 스무디 워터파컷,쵸카 님 @chokaloveit,,cold,,블루베리 요거트 스무디를 맛 보여 주기 위해 탄생한 워터파컷입니다. 소심하고 조용하며 눈물이 많은 성격을 가졌습니다.,<디자인권 사용>
131,할로윈 사탕의 시럽 워터파컷,언쿠,,hot,,할로윈 사탕의 시럽을 맛 보여 주기 위해 탄생한 워터파컷입니다. 자존감 높고 강인한 성격을 가졌습니다.,
132,성스러운 눈물 워터파컷,영극 님 @GeugYeong,,cold,,성스러운 눈물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 겁이 많고 잘 우는 성격을 가졌습니다.,<디자인권 사용>
133,공룡이 맛본 사이다 워터파컷,이내 님 @ina_moment10,,cold,,공룡이 맛본 사이다를 맛 보여 주기 위해 탄생한 워터파컷입니다. 차분하고 빈틈 없는 성격을 가졌습니다.,
134,눈 내린 겨울날 눈여우의 얼음 물 워터파컷,눈묘 님 @Snow-my0,,cold,,눈 내린 겨울날 눈여우의 얼음 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 반응하지 않는 무심한 성격을 가졌습니다.,<디자인권 사용>
135,황금 빛 벌꿀 워터파컷,위티 님 @WITTYccat,,hot,,황금 빛 벌꿀을 맛 보여 주기 위해 탄생한 워터파컷입니다. 친절하고 나긋한 성격을 가졌습니다.,
136,게임할 때 마신 에이드 워터파컷,림파 님 @Lim__pa,,cold,,<꼬리의 물 주머니가 큰 특별 개체> 게임할 때 마신 에이드를 맛 보여 주기위해 탄생한 워터파컷입니다. 당돌하고 침착한 성격을 가졌습니다.,<! 님 D>
137,고래가 해엄친 은하수 워터파컷,슝치 님 @syungchi_,,cold,,고래가 해엄친 은하수를 맛 보여 주기위해 탄생한 워터파컷입니다. 차분하고 꼼꼼한 성격을 가졌습니다. 다른'종족'과 함께 태어난 워터파컷 입니다. 가족과 같은 그 '종족'을 의지해 보이는 편 입니다.,
138,은방울꽃에 둘러싸인 유령신부의 눈물 워터파컷,견 님 @DOGdog_bow,,cold,,은방울꽃에 둘러싸인 유령신부의 눈물을 맛 보여주기 위해 탄생한 워터파컷입니다. 상처를 잘 받고 우울한 성격을 가졌습니다.,
139,유령을 보고 놀란 사람의 눈물 워터파컷,달콤한슈크림 님 @i_hate_the_test,,cold,,유령을 보고 놀란 사람의 눈물을 맛 보여주기 위해 탄생한 워터파컷입니다. 장난끼 많고 심술궂은 성격을 가졌습니다.,
140,등불에 소원을 빈 고래의 눈물 워터파컷,쿠도쿠로 님 @KudoKuro1468,,hot,,등불에 소원을 빈 고래의 눈물을 맛 보여주기 위해 탄생한 워터파컷입니다. 정이 많고 다정한 성격을 가졌습니다.,
141,유니콘의 솜사탕맛 주스 워터파컷,달콤한슈크림 님 @i_hate_the_test,,hot,,유니콘의 솜사탕맛 주스를 맛 보여주기 위해 탄생한 워터파컷입니다. 밝고 희망찬 성격을 가졌습니다.,
142,별이 뜬 새벽하늘 아래 마신 홍차 워터파컷,달콤한슈크림 님 @i_hate_the_test,,hot,,별이 뜬 새벽하늘 아래 마신 홍차를 맛 보여주기 위해 탄생한 워터파컷입니다. 다정하고 나긋한 성격을 가졌습니다.,
143,한 화가의 3색 과일주스 워터파컷,안초 님 @kimancho930,,hot,,한 화가의 3색 과일주스를 맛 보여 주기 위해 탄생한 워터파컷입니다. 푸근하고 활동적인 성격을 가졌습니다.,
144,고양이 아가씨가 마신 보라빛 흑장미 차 워터파컷,이보노키 님 @0Bn7yGrfTDTgPeo,,cold,,고양이 아가씨가 마신 보라빛 흑장미 차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 도도하고 새침한 성격을 가졌습니다.,
145,과일 시리얼을 담군 우유 워터파컷,슈가 님 @_suga_0503,,hot,,과일 시리얼을 담군 우유를 맛 보여 주기 위해 탄생한 워터파컷입니다. 다정하고 너그러운 성격을 가졌습니다.,
146,물감 색들이 섞이기 전의 물 워터파컷,김익 님 @rl221_ig,,hot,,물감 색들이 섞이기 전의 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 밝고 낙천적이며 매사에 긍정적인 성격을 가졌습니다.,<디자인권 사용>
147,청룡의 맑은 샘물 워터파컷,쿠도쿠로 님 @KudoKuro1468,,hot,,청룡의 맑은 샘물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 다정하고 너그러운 성격을 가졌습니다.,
148,청룡의 맑은 바닷물,쿠도쿠로 님 @KudoKuro1468,,cold,,청룡의 맑은 바닷물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 차분하고 꼼꼼한 성격을 가졌습니다.,
149,복숭아티 워터파컷,고냥코 님 @Conaco__S2,,hot,,복숭아티를 맛 보여 주기 위해 탄생한 워터파컷입니다. 온화하고 친절한 성격을 가졌습니다.,<디자인권 사용>
150,교만의 길로 이끄는 악마의 주스 워터파컷,미리내 님 @me_li_neh,,cold,,"<날개가 달린 특수 개체> 교만의 길로 이끄는 악마의 주스를 맛 보여 주기 위해 탄생한 워터파컷입니다. 교만하고 냉정한 성격을 가졌습니다. 다른'종족'의 탄생에 의해 어떠한 사건으로 태어난 워터파컷 입니다. 그들은 그저, 자신의 ‘물’을 원하는 이들에게 맛보여줄 뿐인 순수한 존재입니다. 그들을 미워하지 말아주세요.",
151,탐욕의 길로 이끄는 악마의 주스 워터파컷,ZederQuan 님 @ZederQuan,,hot,,"<날개가 달린 특수 개체> 탐욕의 길로 이끄는 악마의 주스를 맛 보여 주기 위해 탄생한 워터파컷입니다. 욕심많고 탐욕적인 성격을 가졌습니다. 다른'종족'의 탄생에 의해 어떠한 사건으로 태어난 워터파컷 입니다. 그들은 그저, 자신의 ‘물’을 원하는 이들에게 맛보여줄 뿐인 순수한 존재입니다. 그들을 미워하지 말아주세요.",
152,질투의 길로 이끄는 악마의 주스 워터파컷,달콤한슈크림 님 @i_hate_the_test,,hot,,"<날개가 달린 특수 개체> 질투의 길로 이끄는 악마의 주스를 맛 보여 주기 위해 탄생한 워터파컷입니다. 질투가 많고 잘난체하는 성격을 가졌습니다. 다른'종족'의 탄생에 의해 어떠한 사건으로 태어난 워터파컷 입니다. 그들은 그저, 자신의 ‘물’을 원하는 이들에게 맛보여줄 뿐인 순수한 존재입니다. 그들을 미워하지 말아주세요.",
153,분노의 길로 이끄는 악마의 주스 워터파컷,버찌랑 님 @Buzz_iii,,hot,,"<날개가 달린 특수 개체> 분노의 길로 이끄는 악마의 주스를 맛 보여 주기 위해 탄생한 워터파컷입니다. 분노가 많은 성격을 가졌습니다. 다른'종족'의 탄생에 의해 어떠한 사건으로 태어난 워터파컷 입니다. 그들은 그저, 자신의 ‘물’을 원하는 이들에게 맛보여줄 뿐인 순수한 존재입니다. 그들을 미워하지 말아주세요.",
154,색욕의 길로 이끄는 악마의 주스 워터파컷,미리내 님 @me_li_neh,,hot,,"<날개가 달린 특수 개체> 색욕의 길로 이끄는 악마의 주스를 맛 보여 주기 위해 탄생한 워터파컷입니다. 심술궂고 어린아이 같은 성격을 가졌습니다. 다른'종족'의 탄생에 의해 어떠한 사건으로 태어난 워터파컷 입니다. 그들은 그저, 자신의 ‘물’을 원하는 이들에게 맛보여줄 뿐인 순수한 존재입니다. 그들을 미워하지 말아주세요.",
155,식탐의 길로 이끄는 악마의 주스 워터파컷,롸미 님 @da_rami_07,,cold,,"<날개가 달린 특수 개체> 식탐의 길로 이끄는 악마의 주스를 맛 보여 주기 위해 탄생한 워터파컷입니다. 깐깐하고 완고한 성격을 가졌습니다. 다른'종족'의 탄생에 의해 어떠한 사건으로 태어난 워터파컷 입니다. 그들은 그저, 자신의 ‘물’을 원하는 이들에게 맛보여줄 뿐인 순수한 존재입니다. 그들을 미워하지 말아주세요.",
156,나태의 길로 이끄는 악마의 주스 워터파컷,삐약 님 @fkdlfn456,,cold,,"<날개가 달린 특수 개체> 나태의 길로 이끄는 악마의 주스를 맛 보여 주기 위해 탄생한 워터파컷입니다. 조용하고 나태한 성격을 가졌습니다. 다른'종족'의 탄생에 의해 어떠한 사건으로 태어난 워터파컷 입니다. 그들은 그저, 자신의 ‘물’을 원하는 이들에게 맛보여줄 뿐인 순수한 존재입니다. 그들을 미워하지 말아주세요.",
157,검푸른색 꽃차 워터파컷,개힘드네 님 @yeounyang1018,,cold,,검푸른색 꽃차를 맛 보여 주기위해 탄생한 워터파컷입니다. 도도하고 조용하며 냉정한 성격을 가졌습니다.,<디자인권 사용>
158,추억이 담긴 쌀뜨물 워터파컷,버찌랑 님 @Buzz_iii,,hot,,추억이 담긴 쌀뜨물을 맛 보여 주기위해 탄생한 워터파컷입니다. 정이 많고 따스한 성격을 가졌습니다.,<디자인권 사용> (리드로잉A)
159,귤젤리 물 워터파컷,미리내 님 @me_li_neh,,hot,,귤젤리 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 친절하고 밝고 활기찬 성격을 가졌습니다.,<디자인권 사용> (리드로잉A)
160,롭이어가 한모금 마신 홍차 워터파컷,쿠도쿠로 님 @KudoKuro1468,,hot,,롭이어가 한모금 마신 홍차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 나긋하고 정이 많은 성격을 가졌습니다.,<디자인권 사용>
161,가오리가 마시고 간 밀키스 워터파컷,낑깡 님 @Float_stingray,,cold,,가오리가 마시고 간 밀키스를 맛 보여 주기 위해 탄생한 워터파컷입니다. 차분하고 무뚝뚝한 성격을 가졌습니다.,<디자인권 사용>
162,씁쓸한 빨간장미 차 워터파컷,언쿠,,hot,,<볼의 물주머니가 귀에 있는 특별 개체> 씁쓸한 빨간장미 차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 다정하며 포근한 성격을 가졌습니다.,<삐약님 DA>
163,애도하는 이의 마지막 꽃잎차 워터파컷,김컁 님 @kimkyang_0531,,cold,,애도하는 이의 마지막 꽃잎차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 약간의 경계성과 예민한 성격을 가졌습니다.,<디자인권 사용>
164,허브밭에 내린 여우비 워터파컷,사이버파상풍전파자 님 @sonsang_kk0kk,,cold,,허브밭에 내린 여우비를 맛 보여 주기 위해 탄생한 워터파컷입니다. 항상 슬퍼하고 소심한 성격을 가졌습니다.,<디자인권 사용>
165,시골소녀가 마셨던 보리차 워터파컷,슐류 님 @schullu0910,,hot,,시골소녀가 마셨던 보리차를 맛보여 주시위해 탄생한 워터파컷입니다. 친절하고 다정하며 공감적인 성격을 가졌습니다.,<디자인권 사용>
166,곰이 따온 꿀차 워터파컷,곰곰콩 님 @gomgomcong,,hot,,곰이 따온 꿀차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 상냥하고 부끄러움 많은 성격을 가졌습니다.,<디자인권 사용> (리드로잉A)
167,수면제를 탄 물 워터파컷,달뉴우우 님 @dalneww,,cold,,수면제를 탄 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 조용하고 차분한 성격을 가졌습니다.,<디자인권 사용>
168,어린 설표가 만든 눈덩이의 물 워터파컷,cherry 님 @cherry10g,,cold,,어린 설표가 만든 눈덩이의 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 소심하고 걱정많은 성격을 가졌습니다.,
169,끝없는 풀장의 물 워터파컷,사이버파상풍전파자 님 @sonsang_kk0kk,,cold,,<인어의 몸을 가진 특수개체> 끝없는 풀장의 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 무심하고 공허한 성격을 가졌습니다.,
170,끝없는 볼풀장의 물 워터파컷,cherry 님 @cherry10g,,hot,,<인어의 몸을 가진 특수개체> 끝없는 볼풀장의 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 밝고 활기찬 성격을 가졌습니다.,
171,별주부가 용궁으로 돌아가기 전 토끼에게 받아 마신 술 워터파컷,라비 님 @fahwieu,,cold,,<인어의 몸을 가진 특수개체> 별주부가 용궁으로 돌아가기 전 토끼에게 받아 마신 술을 맛 보여 주기위해 탄생한 워터파컷입니다. 눈치빠르고 조금 냉정한 성격을 가졌습니다.,
172,인어로 돌아가기 위해 죽인 사랑하는 사람의 피 워터파컷,마타 님 @MataH_R__,,hot,,<인어의 몸을 가진 특수개체> 인어로 돌아가기 위해 죽인 사랑하는 사람의 피를 맛 보여 주기 위해 탄생한 워터파컷입니다. 다정하고 가족애 강한 성격을 가졌습니다. 다른'종족'들과 함께하는 워터파컷 입니다. 가족과 같은 그 '종족'들을 의지해 보이는 편 입니다.,
173,빈티지 케이크 크림 워터파컷,님 @,,cold,,빈티지 케이크 크림을 맛 보여 주기 위해 탄생한 워터파컷입니다. 차분하고 꼼꼼한 성격을 가졌습니다.,<나일악어님 D>
174,생일 양초 물 워터파컷,님 @,,hot,,생일 양초 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 나긋하고 따뜻한 성격을 가졌습니다.,<나일악어님 D>
175,파티 주인공의 생일 주스 워터파컷,님 @,,hot,,<꼬리 물주머니가 3개인 특수개체> 파티 주인공의 생일 주스를 맛 보여 주기 위해 탄생한 워터파컷입니다. 밝고 활기찬 성격을 가졌습니다.,<나일악어님 D>
176,유성이 닿은 물 워터파컷,언쿠,,hot,,유성이 닿은 물을 맛 보여주기 위해 탄생한 워터파컷 입니다. 다정하고 여행하는 것을 즐기는 성격을 가졌습니다. 다른'종족'들과 함께 탄생한 워터파컷 입니다. 가족과 같은 그 '종족'들과 먼 여정을 함께하고 있습니다.,<Dreamnight 님 AD>
177,별빛이 머문 개울의 물 워터파컷,라비 님 @fahwieu,,cold,,별빛이 머문 개울의 물을 맛 보여주기 위해 탄생한 워터파컷 입니다. 조용하고 차분한 성격을 가졌습니다. 다른'종족'들과 함께 탄생한 워터파컷 입니다. 가족과 같은 그 '종족'들과 먼 여정을 함께하고 있습니다.,<Dreamnight 님 AD>
178,눈토끼의 열매 과즙 워터파컷,cherry 님 @cherry10g,,cold,,눈토끼의 열매 과즙을 맛 보여 주기 위해 탄생한 워터파컷입니다. 겁이 많으며 조심성도 많은 성격을 가졌습니다.,
179,푸른 달빛이 머문 지하호수 물 워터파컷,제이 님 @flavor_2018,,hot,,푸른 달빛이 머문 지하호수 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 느긋하고 다정한 성격을 가졌습니다.,
180,블루베리 맛 물약 워터파컷,제이 님 @flavor_2018,,cold,,블루베리 맛 물약을 맛 보여 주기 위해 탄생한 워터파컷입니다. 차분하고 꼼꼼한 성격을 가졌습니다.,
181,연주하는 은방울꽃에 모인 아침 이슬 물 워터파컷,슈가 님 @SUGAR_0503_,,cold,,연주하는 은방울꽃에 모인 아침 이슬 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 침착한 성격을 가졌습니다.,
182,검은 해골에 담긴 물 워터파컷,버찌랑 님 @Buzz_iii,,cold,,검은 해골에 담긴 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 냉정한 성격을 가졌습니다.,
183,연 푸른 소나무 수액 워터파컷,버찌랑 님 @Buzz_iii,,hot,,연 푸른 소나무 수액을 맛 보여 주기 위해 탄생한 워터파컷입니다. 당당하고 힘찬 성격을 가졌습니다.,
184,인연이 이어질 때 마신 술 워터파컷,Luu 님 @Luu_round_M,,hot,,인연이 이어질 때 마신 술을 맛 보여 주기위해 탄생한 워터파컷입니다. 다정하고 온화한 성격을 가졌습니다.,
185,블루베리 에이드 워터파컷,제이 님 @flavor_2018,,cold,,블루베리 에이드를 맛 보여 주기 위해 탄생한 워터파컷입니다. 냉철하고 세심한 성격을 가졌습니다.,
186,우파루파가 즐겨먹는 아이스 레몬 티 워터파컷,웨일리아 님 @waillia230524,,hot,,우파루파가 즐겨먹는 아이스 레몬 티를 맛 보여 주기 위해 탄생한 워터파컷입니다. 짜증이 많고 쉽게 화내는 성격을 가졌습니다.,<디자인권 사용>
187,포슬한 고구마라떼 워터파컷,수라감자 님 @POTATOTO_72,,hot,,포슬한 고구마라떼를 맛 보여 주기 위해 탄생한 워터파컷입니다. 포근하고 다정한 성격을 가졌습니다. 다른'종족'과 함께 하는 워터파컷 입니다. 가족과 같은 그 '종족'과 평생을 함께 합니다.,
188,구름을 섞은 달콤한 우유 워터파컷,슷큐 님 @SQ_12221,,cold,,구름을섞은 달콤한 우유를 맛 보여 주기 위해 탄생한 워터파컷입니다. 깐깐하고 냉정한 성격을 가졌습니다. 다른'종족'과 함께 하는 워터파컷 입니다. 가족과 같은 그 '종족'과 평생을 함께 합니다.,
189,설표 유령의 눈물 워터파컷,롸미 님 @da_rami_07,,cold,,설표 유령의 눈물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 냉정하지만 눈물 많은 성격을 가졌습니다. 다른'종족'과 함께 하는 워터파컷 입니다. 가족과 같은 그 '종족'과 평생을 함께 합니다.,
190,강아지 유령의 눈물 워터파컷,롸미 님 @da_rami_07,,cold,,강아지 유령의 눈물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 외로움 많고 눈물 많은 성격을 가졌습니다. 다른'종족'과 함께 하는 워터파컷 입니다. 가족과 같은 그 '종족'과 평생을 함께 합니다.,
191,마녀의 호박죽 워터파컷,쥬엘 님 @Joel_Fursuit,,hot,,마녀의 호박죽을 맛 보여 주기 위해 탄생한 워터파컷입니다. 다정하고 장난끼 있는 성격을 가졌습니다. 다른'종족'과 함께 하는 워터파컷 입니다. 가족과 같은 그 '종족'과 평생을 함께 합니다.,
192,듀라한이 마신 블루베리 주스 워터파컷,짭짭이 님 @Jjapjjap_owo,,cold,,듀라한이 마신 블루베리 주스를 맛 보여 주기 위해 탄생한 워터파컷입니다. 다른'종족'과 함께 하는 워터파컷 입니다. 가족과 같은 그 '종족'과 평생을 함께 합니다.,
193,유령 신랑이 사랑을 맹세하며 마신 장미꽃 차 워터파컷,쥬엘 님 @Joel_Fursuit,,hot,,유령 신랑이 사랑을 맹세하며 마신 장미꽃 차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 다정하고 성실한 성격을 가졌습니다. 한 워터파컷과 평생을 함께합니다.,
194,유령 신부가 사랑을 맹세하며 마신 장미꽃 차 워터파컷,쥬엘 님 @Joel_Fursuit,,hot,,유령 신부가 사랑을 맹세하며 마신 장미꽃 차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 다정하고 나긋한 성격을 가졌습니다. 한 워터파컷과 평생을 함께합니다.,
195,천호가 일을 쉴때 마신 술 워터파컷,롸미 님 @da_rami_07,,hot,,<꼬리 물주머니가 큰 특별개체> 천호가 일을 쉴때 마신 술을 맛 보여 주기 위해 탄생한 워터파컷입니다. 성실하고 나름 친절한 성격을 가졌습니다. 다른'종족'과 함께 하는 워터파컷 입니다. 가족과 같은 그 '종족'과 평생을 함께 합니다.,
196,선비가 초승달이 뜬 밤 청룡과 함께 마신 맑은 차 워터파컷,롸미 님 @da_rami_07,,hot,,<용의 손을 가진 특수개체> 선비가 초승달이 뜬 밤 청룡과 함께 마신 맑은 차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 온화하고 정 많은 성격을 가졌습니다. 다른'종족'과 함께 하는 워터파컷 입니다. 가족과 같은 그 '종족'과 평생을 함께 합니다.,
197,아씨가 초승달이 뜬 낮 백룡과 함께 마신 맑은 차 워터파컷,롸미 님 @da_rami_07,,hot,,<용의 발을 가진 특수개체> 아씨가 초승달이 뜬 낮 백룡과 함께 마신 맑은 차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 온화하고 친절한 성격을 가졌습니다. 다른'종족'과 함께 하는 워터파컷 입니다. 가족과 같은 그 '종족'과 평생을 함께 합니다.,
198,성스러운 황금피 워터파컷,cherry 님 @cherry10g,,hot,,성스러운 황금피를 맛 보여 주기 위해 탄생한 워터파컷입니다. 정많고 온화한 성격을 가졌습니다.,
199,수상한 신의 부름 칵테일 워터파컷,알고 님 @Algoring_,,cold,,<꼬리물주머니가 4개 있는 특수개체> 수상한 신의 부름 칵테일을 맛 보여주기 위해 탄생한 워터파컷입니다. 어쩐지 감정을 파악하기 어렵고 상대방을 뚫어져라 쳐다보며 불편할 정도로 상대방을 차갑게 관찰하는 성격을 가졌습니다. 다른 ‘종족'의 일부가 들어가버린 모양입니다.,<이상어 님 AD>
200,200번째 공연 웰컴 주스 워터파컷,님 @,,hot & cold,,"<인간의 몸을 가진 개체, '물'에 원하는 감정을 담을수 있는 ??? 개체> 200번째 공연 웰컴 주스를 맛 보여 주기 위해 탄생한 워터파컷입니다. 성격 또한 hot과 cold가 공존하는 듯 합니다. 원하는 ‘감정’을 담고, 그 ‘감정’을 느낄수 있게해주는 주스를 맛 보여 주는 워터파컷 입니다.",
201,호위무사가 잠시 목축인 물 워터파컷,롸미 님 @da_rami_07,,hot,,<날개를 가진 특수개체> 호위무사가 잠시 목축인 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 정직하고 당찬 성격을 가졌습니다. 다른'종족'과 함께 하는 워터파컷 입니다. 가족과 같은 그 '종족'과 평생을 함께 합니다.,
202,은하수를 담은 맑은 물 워터파컷,언쿠,,hot,,<인간의 몸을 가진 특수개체> 은하수를 담은 맑은 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 온화하고 친절한 성격을 가졌습니다. 다른'종족'과 함께 하던 워터파컷 입니다. 가족과 같은 그 '종족'과 다시 만날 날을 기다립니다.,
203,악마 고양이가 마신 이온음료 워터파컷,김컁 님 @kimkyang_0531,,cold,,악마 고양이가 마신 이온음료를 맛 보여 주기 위해 탄생한 워터파컷입니다. 시원시원하고 털털한 성격을 가졌습니다.,
204,사랑의 묘약 워터파컷,룰루럴러 님 @Crt__S2,,hot,,<물 배출 구멍이 꼬리물주머니에 더 있는 특별 개체> 사랑의 묘약을 맛 보여 주기 위해 탄생한 워터파컷입니다. 감정이 잘 동하고 잘 격해지는 성격을 가졌습니다. 다른'종족'과 함께 하는 워터파컷 입니다. ‘증발’하기 위해 그 '종족'과 평생을 함께 하고 있습니다.,
205,달밤에 친구가 보내온 편지를 읽으며 마신 차 워터파컷,무명님 @nonamed_404,,hot,,달밤에 친구가 보내온 편지를 읽으며 마신 차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 다정하고 정많은 성격을 가졌습니다.,
206,어느 대부호의 비싼 차 워터파컷,마타님 @MataH_R__,,cold,,어느 대부호의 비싼 차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 냉정하고 계산적인 성격을 가졌습니다.,
207,누군가 원한 ‘물’ 워터파컷,언쿠,,hot & cold,,<'물'의 맛을 바꾸는 게 가능한 ??? 개체> 누군가 원한 ‘물'을 맛 보여주기 위해 탄생한 워터파컷입니다. 성격 또한 hot과 cold가 공존하는 듯 합니다. 다른'종족'과 함께 하는 워터파컷 입니다. 태어나는 그 순간 마주한 그 ‘종족'과 가족이 되어 함께 살아가고 있습니다.,
208,용감한 전사가 마신 당근주스 워터파컷,롸미 님 @da_rami_07,,hot,,용감한 전사가 마신 당근주스를 맛 보여 주기 위해 탄생한 워터파컷입니다. 강인하고 열정적인 성격을 가졌습니다. 다른'종족'과 함께 하는 워터파컷 입니다. 그 ‘종족'과 함께 기생 생물을 처치하며 살아가고 있습니다. 함께하는 ‘종족'의 상사로 ‘파렐'등급 입니다.,
209,트로피컬 파인애플 주스 워터파컷,뫽끼 님 @Amu_nickname,,hot,,트로피칼컬 파인애플 주스를 맛 보여 주기 위해 탄생한 워터파컷입니다. 발랄하고 사교적인 성격을 가졌습니다.,<디자인권 사용>
